CustomerID,Recency,Frequency,Monetary,Cluster,Segment,PC1,PC2
12346,326,1,77183.6,2,At-Risk Valuable Customers,0.8726580496435797,2.6867580095552643
12347,2,7,4310.0,1,High-Value Loyal Customers,2.5502598971795694,-0.8044273463632136
12348,75,4,1797.24,2,At-Risk Valuable Customers,0.4751417941871487,0.7461208779133901
12349,19,1,1757.55,0,Recent Low-Value Customers,0.1458319692428866,-0.46048046680295524
12350,310,1,334.4,3,Inactive Customers,-1.6889904949654109,0.6765554894664499
12352,36,8,2506.04,2,At-Risk Valuable Customers,1.4395747508697951,0.6364771321502134
12353,204,1,89.0,3,Inactive Customers,-2.153986943744781,-0.06623115751699066
12354,232,1,1079.4,3,Inactive Customers,-1.0235592605169654,0.9190028273014869
12355,214,1,459.4,3,Inactive Customers,-1.397610429849014,0.5577377823771997
12356,23,3,2811.43,2,At-Risk Valuable Customers,0.925984427323034,0.09225827403031807
12357,33,1,6207.67,2,At-Risk Valuable Customers,0.5416740683657243,0.33482137218501984
12358,2,2,1168.06,0,Recent Low-Value Customers,1.0437798089466377,-1.6560055994351544
12359,58,4,6372.58,2,At-Risk Valuable Customers,1.172346267574446,1.0458853584509278
12360,52,3,2662.06,2,At-Risk Valuable Customers,0.5973588398722146,0.5746954619260514
12361,287,1,189.9,3,Inactive Customers,-1.9270667831567705,0.42283295324962844
12362,3,10,5226.23,1,High-Value Loyal Customers,2.81984265247381,-0.42956868458060393
12363,110,2,552.0,3,Inactive Customers,-0.6912538378174342,0.3610473576335412
12364,8,4,1313.1,0,Recent Low-Value Customers,1.1415540880391115,-0.720648862348266
12365,291,2,641.38,3,Inactive Customers,-0.9897521043032816,1.02877982687996
12367,4,1,168.9,0,Recent Low-Value Customers,-0.43344309986249385,-2.1895454919376265
12370,51,4,3545.69,2,At-Risk Valuable Customers,0.9424586559120678,0.7525926204977897
12371,45,2,1887.96,2,At-Risk Valuable Customers,0.2282794914144775,0.24941287036656548
12372,72,3,1298.04,2,At-Risk Valuable Customers,0.134372160496103,0.516555353912386
12373,311,1,364.6,3,Inactive Customers,-1.6493047362822792,0.7099533965968702
12374,25,1,742.9300000000001,0,Recent Low-Value Customers,-0.36266333669852185,-0.6070863624146571
12375,11,2,457.5,0,Recent Low-Value Customers,0.0698892009892862,-1.117561554436881
12377,315,2,1628.12,2,At-Risk Valuable Customers,-0.5783259692518176,1.4173868116827122
